seqno,hosp_id,區域,hosp_name,tel,extension,地址,緯度,經度,type,time,vaccine,twd97x,twd97y,wgs84ax,wgs84ay,date,緯度,經度
11,3531072502,樹林區,三樹金鶯診所,(02)26807101,,新北市樹林區學成路600號1樓、2,24.9457858,121.3810886,合約診所,週一至週日上午7:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9457858,121.3810886
12,3531071907,樹林區,遠祺婦產科診所,(02)86865966,,新北市樹林區中華路112號1、2樓,24.9809794,121.4180536,合約診所,"週四上午9:30-11:30
◎卡介苗為每月第三週星期四早上施打",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、卡介苗,,,,,20230731,24.9809794,121.4180536
13,3531072422,樹林區,莊豐如診所,(02)26830108,,新北市樹林區復興路18號1樓,24.9946171,121.4225165,合約診所,"週一至週五上午7:00-12:00、下午15:00-21:00
週六、週日上午9:00-12:00、下午15:00-21:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9946171,121.4225165
14,3531072440,樹林區,惠生保安婦幼診所,(02)86875678,,新北市樹林區保安街一段190號,24.9956059,121.4217242,合約診所,"週一至週五上午8;00-12:00、下午14:00-17:30、晚上18:30-21:30
週六上午8:00-12:00、下午14:00-17:30
◎卡介苗週二早上12:30-14:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗,,,,,20230731,24.9956059,121.4217242
15,3531072477,樹林區,信和耳鼻喉科診所,(02)26822100,,新北市樹林區博愛街178號1、2樓,24.990589,121.4256496,合約診所,週一至週日上午8:00-12:00、下午14:00-21:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.990589,121.4256496
16,3531071970,樹林區,林岳宏小兒科陳德馨皮膚科聯合診所,(02)86840088,,新北市樹林區中華路241號1樓,24.9806622,121.4185131,合約診所,"週一、二、三、五、六上午8:30-11:30
週一至週五下午16:00-19:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9806622,121.4185131
17,3531072225,樹林區,承恩診所,(02)89705297,,新北市樹林區學勤路597號,24.9489018,121.384014,合約診所,"週一至週五上午8:00-12:00、下午19:00-21:30
週六上午8:00-12:00
",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9489018,121.384014
18,3531072137,樹林區,何廷裕小兒科診所,(02)26756789,,新北市樹林區日新街34號,24.9925988,121.4227255,合約診所,"週一至週五上午8:30-12:00、下午15:00-18:00、晚上18:30-21;30
週六早上8:30-12;00、下午15:00-18:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9925988,121.4227255
19,3531072146,樹林區,柯盈賢小兒科診所,(02)26869185,,新北市樹林區樹新路41號1樓,24.9947429,121.4270694,合約診所,週一至週五及週日上午8:00-12:00、下午15:00-18:00、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9947429,121.4270694
20,3531211081,三芝區,三芝彭小兒科診所,(02)26369622,,新北市三芝區中山路一段59號,25.2573021,121.5008227,合約診所,週二至週五早上8:30-12:00、晚上18:00-21:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.2573021,121.5008227
21,3531021649,三重區,洪小兒科診所,(02)29823852,,新北市三重區三民街243號,25.0674474,121.479803,合約診所,週一至週六早上9:00-12:00、晚上16:00-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0674474,121.479803
22,3531024408,三重區,東和婦產科家庭醫學科診所,(02)29729627,,新北市三重區三和路2段97號,25.0685508,121.4996221,合約診所,週一至週五上午8:00~12:00、下午15:00~18:00、下午19:00~21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731,25.0685508,121.4996221
23,3531022244,三重區,鄭智雄診所,(02)22805419,,新北市三重區三和路4段308號,25.0778,121.4842869,合約診所,週一至週六上午9:00-12:00、下午15:00-18:00、晚上19:00-20:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0778,121.4842869
24,3531024613,三重區,世鴻耳鼻喉科,(02)22866038,,新北市三重區三和路4段318號,25.0779158,121.4840337,合約診所,"週一至週六早上8:00–12:00、下午14:00-22:00
",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0779158,121.4840337
25,3531024186,三重區,謝明宏小兒科診所,(02)29816425,,新北市三重區中華路57號,25.0621706,121.4837699,合約診所,"週一、三、四、六上午08:30–12:00、下午16:30–18:30、晚上19:00–21:30
週二、五下午16:30–18:30、下午19:00–21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0621706,121.4837699
26,3531022744,三重區,金港齡小兒科,(02)29802412,,新北市三重區仁愛街302號,25.0794257,121.4921749,合約診所,週二至週五早上9:00-11:00、下午16:30-19:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0794257,121.4921749
27,3531022093,三重區,仁新小兒科所,(02)28574762,,新北市三重區仁愛街735號,25.0805857,121.4818652,合約診所,"週一至週五上午08:30–12:00、下午19:00–22:00
週六上午08:30–12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0805857,121.4818652
28,3531024239,三重區,簡修平診所,(02)89825506,,新北市三重區正義北路300-3號,25.0696622,121.4952995,合約診所,週一至週六上午8:30–12:00、下午15:00–18:00、晚上19:00–22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0696622,121.4952995
29,3531024444,三重區,錫安婦產科內科,(02)29812299,,新北市三重區正義北路319號,25.071332,121.4941134,合約診所,週一至週六上午9:00–12:00、下午14:30–17:30、晚上19:00–22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731,25.071332,121.4941134
30,3531021363,三重區,翁華宗小兒科診所,(02)29879872,,新北市三重區正義北路324號,25.0703929,121.4947976,合約診所,"週一至週六早上8:30-12:00、下午15:00-18:00、晚上19:00-22:00
週例假日:8:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0703929,121.4947976
31,3531025423,三重區,采新婦幼診所,(02)89853888,,新北市三重區正義北路86號,25.0646341,121.4969737,合約診所,"週一~週五:早上9:00~12:00、下午14:30~17:30
週六:早上9:00~12:00
◎卡介苗每隔週四:14:00-16:00(先預約)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731,25.0646341,121.4969737
32,3531025352,三重區,丁婦產科診所,(02)29858001,,新北市三重區自強路1段246號,25.0794504,121.491008,合約診所,週一至週六早上9:00–12:00、下午14:30–18:00、晚上19:00–22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白,,,,,20230731,25.0794504,121.491008
33,3531020508,三重區,郭國鐘小兒科診所,(02)29726825,,新北市三重區信義街57號,25.064964,121.501222,合約診所,"週一至週五早上8:00–12:00、下午15:00–18:00、晚上19:00–21:00
週六早上8:00–12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.064964,121.501222
34,3531024935,三重區,惠心婦幼診所,(02)29810568,,新北市三重區重陽路1段138號,25.060918,121.487033,合約診所,"週一至週六:9:00-12:00、14:30-18:00、18:30-21:30
週日9:00-12:00
◎卡介苗每週四18:30-20:00(先預約)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、育齡婦女MMR,,,,,20230731,25.060918,121.487033
35,3531024220,三重區,聰明耳鼻喉科診所,(02)89727370,,新北市三重區重新路2段14號1樓,25.0626679,121.4995206,合約診所,週一至週六上午9:00-11:30、下午15:00-1800、晚上18:30-2100,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0626679,121.4995206
36,3531023054,三重區,德恩診所,(02)29766501,,新北市三重區集成路47號,25.0527488,121.4893543,合約診所,"週一至週六上午8:30~12:00、下午15:00~18:00
週一至週五晚上18:30~21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0527488,121.4893543
37,3531026082,三重區,慶祥診所,(02)29834012,,新北市三重區自強路3段67號,25.0733391,121.4870601,合約診所,"週一至週五上午9:00-12:00、下午18:00-21:00
周六上午8:30-12:00
週日下午18:00-21:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0733391,121.4870601
38,131020016,三重區,新北市立聯合醫院,(02)29829111,,"新北市三重區新北大道1段3號
",25.0470319,121.4838873,合約診所,"週一、三、四、五、六上午9:00-10:30(掛號時間)
週二下午13:30~15:30(掛號時間)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、B型肝炎免疫球蛋白、育齡婦女MMR,,,,,20230731,25.0470319,121.4838873
39,3531026304,三重區,惠心婦產科小兒科診所,(02)29781998,,新北市三重區成功路171號-173號,25.0526477,121.4861851,合約診所,"週一至週六早上9:00-12:00、下午14:30-18:00、晚上18:30-21:30
週日早上9:00-12:00
◎卡介苗每週四18:30-20:00(先預約)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白、育齡婦女MMR,,,,,20230731,25.0526477,121.4861851
40,3531026260,三重區,正和診所,(02)29828828,,新北市三重區正義北路278號1樓,25.0690833,121.4956628,合約診所,週一至週日上午8:00-12:00、下午15:00-18:00、晚上18:30-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0690833,121.4956628
41,3531231190,八里區,誠泰診所,(02)26108205,,新北市八里區中山路一段231號,25.157637,121.4109423,合約診所,週一至周五及週日早上8:00-12:00、下午15:00-18:00、晚上18:00-21:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.157637,121.4109423
42,131020016,板牆區,新北市立聯合醫院(板橋院區),(02)22575151,,新北市板橋區英士路198號,25.0232911,121.4574246,合約診所,"週一、二、五上午9:00-11:30
週三下午1:30-4:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0232911,121.4574246
43,1131010011,板牆區,亞東紀念醫院,(02)89667000,,新北市板橋區南雅南路2段21號,24.997236,121.4532954,合約診所,"週一、週三、週六上午9:00-12:00
週五下午13:00-16:00
◎卡介苗為週三上午9:30~11:30
（上午11:00前務必至診間報到)",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗、卡介苗、B型肝炎免疫球蛋白,,,,,20230731,24.997236,121.4532954
44,3531013898,板牆區,合泰婦產小兒聯合診所,(02)29576699,,新北市板橋區忠孝路19號,25.002047,121.460332,合約診所,"週一至週六上午9：00-12：00
週二、四、五下午15:00-18:00
週一至週五晚上19：00-22：00
週六晚上19：00-21：00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.002047,121.460332
45,3531012640,板牆區,燿星小兒科診所,(02)29522377,,新北市板橋區實踐路113號,25.005069,121.4641695,合約診所,週一至週六上午9:00-12:00、下午15:00-18:00、晚上19:00-21:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.005069,121.4641695
46,3531013414,板牆區,吳建明小兒科診所,(02)89670670,,新北市板橋區四川路2段245巷46號,24.9924306,121.4518113,合約診所,"週一至週六上午8:30-12:00、晚上18:00-22:00
週一、週三、週五下午3:00-6:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.9924306,121.4518113
47,3531012908,板牆區,吳懿蒼小兒科診所,(02)22728269,,新北市板橋區國光路43號,25.0178659,121.457657,合約診所,"週一至週六上午9:00-11:30、下午15:30-17:00
週一至週五晚上19:00-21:00
週六晚上19:00-20:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0178659,121.457657
48,3531013423,板牆區,吳宏誠小兒科診所,(02)22502422,,新北市板橋區莊敬路156號1樓,25.0226522,121.4712923,合約診所,"週一至週五上午8:30-11:30、下午16:00-17:30
晚上18:30-21:00
週六上午9:00-12:00、晚上17:00-21:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0226522,121.4712923
49,3531015383,板牆區,林子敬診所,(02)29591986,,新北市板橋區中山路2段198號,25.0175679,121.477674,合約診所,週一至週六上午8:30-12:00、下午15:00-18:00、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0175679,121.477674
50,3531012444,板牆區,陳正忠小兒科診所,(02)29685489,,新北市板橋區府中路143號,25.0093834,121.4554527,合約診所,"週一至週六上午9:00-12:00、下午15:30-18:00(週三下午休診)
週一至週五晚上19:00-21:30
國定假日只看早上9:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0093834,121.4554527
51,3531010744,板牆區,陳嘉偉診所,(02)29555457,,新北市板橋區懷仁街92號,25.0178272,121.4776584,合約診所,"週一至週五上午9:00-12:00、晚上19:00-21:30
週六上午9:00-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0178272,121.4776584
52,3531011901,板牆區,陳恩哲小兒科診所,(02)22567200,,新北市板橋區文化路1段216號,24.949566,121.35289,合約診所,"週一至週日上午8:30-12:00
週一至週六下午3:00-6:00、晚上6:00-10:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,24.949566,121.35289
53,3531012980,板牆區,宏文小兒科診所,(02)22728123,,新北市板橋區國光路45號,25.0178889,121.457753,合約診所,週一至週五上午8:30-12:00、晚上5:00-9:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0178889,121.457753
54,3531015481,板牆區,徐小兒科診所,(02)22500890,,新北市板橋區陽明街46-2號,25.0220793,121.4656644,合約診所,週一至週六上午8:30-12:00、下午3:00-6:00、晚上6:30-9:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0220793,121.4656644
55,3531013709,板牆區,良品婦幼聯合診所,(02)29650111,,新北市板橋區南雅南路1段8-8號1樓,25.0057165,121.4554698,合約診所,週一至週六上午9:00-12:00、下午2:30-5:30、晚上6:30-9:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0057165,121.4554698
